issue_type,code,description,current_value,suggested_fix,severity
similar_description,471502117,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 350 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=1 contra código 471502119: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471502117,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 350 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502121: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471502119,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 450 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502121: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320026,Suministro y colocación de kit de regulación de caudal para conducto flexible redondo de 75 mm.,Levenshtein=2 contra código 990320027: 'Suministro y colocación de kit de regulación de caudal para conducto flexible redondo de 90 mm.',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320529,"Suministro y colocación de plénum de ventilación para 2 conductos de 90 mm de impulsion o retorno, caudal de aire recomendado de 100 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa ","Levenshtein=3 contra código 990320545: 'Suministro y colocación de plénum de ventilación para 3 conductos de 90 mm de impulsion o retorno, caudal de aire recome'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320534,"Suministro y colocación de plénum de ventilación para 2 conductos de 75 mm de impulsion o retorno, caudal de aire recomendado de 60 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa d","Levenshtein=3 contra código 990320533: 'Suministro y colocación de plénum de ventilación para 3 conductos de 75 mm de impulsion o retorno, caudal de aire recome'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320641,Suministro y colocación de rejilla rectangular 260 x 160 mm color blanco o inox.,Levenshtein=2 contra código 990320647: 'Suministro y colocación de rejilla rectangular 430 x 160 mm color blanco o inox.',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320811,"Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomendado de 30 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=2 contra código 990320814: 'Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320811,"Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomendado de 30 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=3 contra código 990320849: 'Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320814,"Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomendado de 30 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=2 contra código 990320849: 'Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320845,"Suministro y colocación de plénum de ventilación para conducto de 90 mm de impulsion o retorno, caudal de aire recomendado de 50 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=2 contra código 990320851: 'Suministro y colocación de plénum de ventilación para conducto de 90 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323612: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323621: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323521: 'Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323523: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323523: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323621: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323521: 'Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323523: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323614,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=1 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323614,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=2 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323614,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=3 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323615,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=1 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323521: 'Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323523: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323622,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323622,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
