issue_type,code,description,current_value,suggested_fix,severity
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323614,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=2 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323614,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=1 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323614,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=3 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323615,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=3 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323615,"Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=1 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323621,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323622,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323622,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323622,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323622,"Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323631,"Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de ",Levenshtein=2 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
